"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"XPO4.1","XPO4",0.0002510234121476,1,0.765514958396323,"3"
"NCOA2.1","NCOA2",0.000257938862261122,1,-8.40035578834363,"3"
"SMG6.2","SMG6",0.000263242773457545,1,-36.9772204785013,"3"
"RASGEF1B.3","RASGEF1B",0.000264883793355469,1,-77.5022767980717,"3"
"KLF3.3","KLF3",0.000265303856617814,1,-14.5699745975171,"3"
"EMSY.1","EMSY",0.000266857689953602,1,-3.66473743678224,"3"
"CCDC6.3","CCDC6",0.00028360621275045,1,-7.14812472445075,"3"
"DMXL1.2","DMXL1",0.000286044353806018,1,-62.4295611218209,"3"
"LARP1.3","LARP1",0.000291053557108253,1,-6.68912767169022,"3"
"CBWD5.1","CBWD5",0.000307393570698081,1,-13.2244486975248,"3"
"BDP1.3","BDP1",0.000314871426880266,1,-8.90999037037735,"3"
"ATG12.1","ATG12",0.000320663136890861,1,0.325545134656979,"3"
"NEK7.1","NEK7",0.000323844017952568,1,-8.22664116966456,"3"
"LCORL.3","LCORL",0.000333351672473381,1,-10.3315373394955,"3"
"FOXO1.2","FOXO1",0.000338543608990973,1,-80.4974911244396,"3"
